#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
128,   4.194,   0.973,      1.397,   1.400,131072,393216, 131072, 6,2,partition 1, 0.477888, 0.425600, 0.490976
128,   4.194,   0.973,      1.397,   1.400,131072,393216, 131072, 6,2,partition 2, 1.077632, 0.233344, 0.088768
128,   4.194,   0.495,      0.736,   0.750,131072,393216, 131072, 6,2,partition 1, 0.232512, 0.189408, 0.300544
128,   4.194,   0.495,      0.736,   0.750,131072,393216, 131072, 6,2,partition 2, 0.516672, 0.169472, 0.063744
128,   4.194,   0.526,      0.793,   0.806,131072,393216, 131072, 6,2,partition 1, 0.209280, 0.171776, 0.399488
128,   4.194,   0.526,      0.793,   0.806,131072,393216, 131072, 6,2,partition 2, 0.489024, 0.192928, 0.124288
128,   4.194,   0.477,      0.725,   0.738,131072,393216, 131072, 6,2,partition 1, 0.213760, 0.177888, 0.319744
128,   4.194,   0.477,      0.725,   0.738,131072,393216, 131072, 6,2,partition 2, 0.474624, 0.182592, 0.081056
128,   4.194,   0.534,      0.857,   0.870,131072,393216, 131072, 6,2,partition 1, 0.232192, 0.170688, 0.440256
128,   4.194,   0.534,      0.857,   0.870,131072,393216, 131072, 6,2,partition 2, 0.572576, 0.178976, 0.118464
256,  33.554,   0.554,      1.335,   1.348,131072,1572864, 524288, 24,8,partition 1, 0.738336, 0.186816, 0.397792
256,  33.554,   0.554,      1.335,   1.348,131072,1572864, 524288, 24,8,partition 2, 0.833504, 0.327488, 0.186784
256,  33.554,   0.506,      1.269,   1.282,131072,1572864, 524288, 24,8,partition 1, 0.750048, 0.196960, 0.309952
256,  33.554,   0.506,      1.269,   1.282,131072,1572864, 524288, 24,8,partition 2, 0.783776, 0.312288, 0.185696
256,  33.554,   0.496,      1.234,   1.248,131072,1572864, 524288, 24,8,partition 1, 0.738912, 0.201664, 0.280512
256,  33.554,   0.496,      1.234,   1.248,131072,1572864, 524288, 24,8,partition 2, 0.780448, 0.273248, 0.194208
256,  33.554,   0.550,      1.278,   1.291,131072,1572864, 524288, 24,8,partition 1, 0.755840, 0.192832, 0.317376
256,  33.554,   0.550,      1.278,   1.291,131072,1572864, 524288, 24,8,partition 2, 0.792448, 0.307200, 0.191264
256,  33.554,   0.514,      1.273,   1.286,131072,1572864, 524288, 24,8,partition 1, 0.740320, 0.191488, 0.329184
256,  33.554,   0.514,      1.273,   1.286,131072,1572864, 524288, 24,8,partition 2, 0.777408, 0.317216, 0.191232
384, 113.246,   0.545,      2.602,   2.615,131072,3538944, 1179648, 54,18,partition 1, 1.660672, 0.452800, 0.476160
384, 113.246,   0.545,      2.602,   2.615,131072,3538944, 1179648, 54,18,partition 2, 1.699456, 0.441792, 0.473376
384, 113.246,   0.460,      2.856,   2.869,131072,3538944, 1179648, 54,18,partition 1, 1.832928, 0.464128, 0.547008
384, 113.246,   0.460,      2.856,   2.869,131072,3538944, 1179648, 54,18,partition 2, 1.875712, 0.465472, 0.527680
384, 113.246,   0.363,      2.882,   2.895,131072,3538944, 1179648, 54,18,partition 1, 1.886624, 0.474720, 0.508704
384, 113.246,   0.363,      2.882,   2.895,131072,3538944, 1179648, 54,18,partition 2, 1.927584, 0.438944, 0.528320
384, 113.246,   0.328,      2.916,   2.929,131072,3538944, 1179648, 54,18,partition 1, 1.919552, 0.450720, 0.533568
384, 113.246,   0.328,      2.916,   2.929,131072,3538944, 1179648, 54,18,partition 2, 1.952864, 0.444576, 0.531200
