#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
256,  33.554,   0.975,      1.461,   1.504,524288,1572864, 524288, 6,2,partition 1, 0.636896, 0.288864, 0.491520
256,  33.554,   0.975,      1.461,   1.504,524288,1572864, 524288, 6,2,partition 2, 1.049248, 0.339584, 0.115616
256,  33.554,   0.554,      0.936,   0.981,524288,1572864, 524288, 6,2,partition 1, 0.555392, 0.193856, 0.141120
256,  33.554,   0.554,      0.936,   0.981,524288,1572864, 524288, 6,2,partition 2, 0.660160, 0.232128, 0.088736
256,  33.554,   0.515,      0.882,   0.926,524288,1572864, 524288, 6,2,partition 1, 0.548992, 0.200448, 0.088320
256,  33.554,   0.515,      0.882,   0.926,524288,1572864, 524288, 6,2,partition 2, 0.645792, 0.192768, 0.087328
256,  33.554,   0.488,      0.883,   0.927,524288,1572864, 524288, 6,2,partition 1, 0.539040, 0.207904, 0.092800
256,  33.554,   0.488,      0.883,   0.927,524288,1572864, 524288, 6,2,partition 2, 0.644096, 0.186976, 0.095904
256,  33.554,   0.492,      0.876,   0.927,524288,1572864, 524288, 6,2,partition 1, 0.540928, 0.192192, 0.092640
256,  33.554,   0.492,      0.876,   0.927,524288,1572864, 524288, 6,2,partition 2, 0.642304, 0.191808, 0.092864
512, 268.435,   0.672,      4.158,   4.202,524288,6291456, 2097152, 24,8,partition 1, 2.428544, 1.043040, 0.642144
512, 268.435,   0.672,      4.158,   4.202,524288,6291456, 2097152, 24,8,partition 2, 2.526304, 1.051904, 0.624160
512, 268.435,   0.546,      4.075,   4.118,524288,6291456, 2097152, 24,8,partition 1, 2.312896, 1.091744, 0.626048
512, 268.435,   0.546,      4.075,   4.118,524288,6291456, 2097152, 24,8,partition 2, 2.422272, 1.071776, 0.624384
512, 268.435,   0.526,      4.171,   4.215,524288,6291456, 2097152, 24,8,partition 1, 2.415936, 1.085824, 0.625024
512, 268.435,   0.526,      4.171,   4.215,524288,6291456, 2097152, 24,8,partition 2, 2.526528, 1.075168, 0.613024
512, 268.435,   0.361,      4.108,   4.152,524288,6291456, 2097152, 24,8,partition 1, 2.348800, 1.075104, 0.639968
512, 268.435,   0.361,      4.108,   4.152,524288,6291456, 2097152, 24,8,partition 2, 2.467808, 1.069728, 0.614944
512, 268.435,   0.371,      4.141,   4.185,524288,6291456, 2097152, 24,8,partition 1, 2.387328, 1.079328, 0.629984
512, 268.435,   0.371,      4.141,   4.185,524288,6291456, 2097152, 24,8,partition 2, 2.505472, 1.059712, 0.619424
768, 905.970,   0.461,     10.330,  10.374,524288,14155776, 4718592, 54,18,partition 1, 5.549440, 3.243360, 1.493248
768, 905.970,   0.461,     10.330,  10.374,524288,14155776, 4718592, 54,18,partition 2, 5.654336, 3.207072, 1.512256
768, 905.970,   0.413,     10.066,  10.111,524288,14155776, 4718592, 54,18,partition 1, 5.307872, 3.183552, 1.530112
768, 905.970,   0.413,     10.066,  10.111,524288,14155776, 4718592, 54,18,partition 2, 5.414720, 3.189920, 1.506496
768, 905.970,   0.380,     10.247,  10.292,524288,14155776, 4718592, 54,18,partition 1, 5.498560, 3.190912, 1.513696
768, 905.970,   0.380,     10.247,  10.292,524288,14155776, 4718592, 54,18,partition 2, 5.606112, 3.195168, 1.490432
768, 905.970,   0.407,     10.257,  10.302,524288,14155776, 4718592, 54,18,partition 1, 5.473696, 3.197120, 1.541408
768, 905.970,   0.407,     10.257,  10.302,524288,14155776, 4718592, 54,18,partition 2, 5.587296, 3.182624, 1.531712
768, 905.970,   0.363,     10.225,  10.268,524288,14155776, 4718592, 54,18,partition 1, 5.474176, 3.201600, 1.505696
