size,dsetmatrix,cudaMemcpy,chunktime,chunk_nosync,chunktimestream,chunkstreams_ nosync,chunkno,chunksize,streams,totchunks,Single Stream Chunking nosync,Stream Chunking,Stream Chunking nosync,Stream Chunk size
704,0.676758,0.6499020000000001,0.663086,0.6599119999999999,0.6757810000000001,0.653076,1,991232,4,4,1.0154023221962694,1.0398198497619642,1.004883813251844,991232.0
704,0.6818850000000001,0.650146,0.663086,0.64917,0.674805,0.656738,1,991232,4,4,0.9984987987313619,1.0379284037739216,1.010139261027523,991232.0
704,0.677246,0.650146,0.6682130000000001,0.661133,0.6757810000000001,0.655029,1,991232,4,4,1.0168992810845563,1.0394296050425598,1.0075106206913524,991232.0
704,0.682129,0.648193,0.669922,0.648926,0.676025,0.654053,1,991232,4,4,1.001130836031861,1.0429378287022537,1.009040517253349,991232.0
768,1.041748,0.78418,0.7910159999999999,0.7749020000000001,0.7910159999999999,0.789795,1,1179648,4,4,0.9881685327348314,1.0087173863143666,1.0071603458389655,1179648.0
768,1.0239260000000001,0.769043,0.788086,0.7719729999999999,0.794189,0.7797850000000001,1,1179648,4,4,1.0038099300039138,1.032697781528471,1.0139680095911412,1179648.0
768,1.035156,0.769043,0.781982,0.773926,0.796143,0.773926,1,1179648,4,4,1.0063494499007208,1.0352386017426853,1.0063494499007208,1179648.0
768,1.0737299999999999,0.767822,0.780273,0.772949,0.794189,0.777832,1,1179648,4,4,1.0066773288600743,1.034339990258159,1.0130368757342196,1179648.0
768,1.088379,0.7692869999999999,0.789795,0.7810060000000001,0.7910159999999999,0.7712399999999999,1,1179648,4,4,1.0152335864248325,1.0282456352440636,1.0025387144199758,1179648.0
832,1.2077639999999998,0.907227,0.9067379999999999,0.909912,0.933105,0.907227,1,1384448,4,4,1.0029595680022751,1.028524283338128,1.0,1384448.0
832,1.167969,0.898926,0.914062,0.9050290000000001,0.928955,0.9050290000000001,1,1384448,4,4,1.006789212905178,1.033405419355987,1.006789212905178,1384448.0
832,1.1479489999999999,0.89917,0.914062,0.9118649999999999,0.9279790000000001,0.9050290000000001,1,1384448,4,4,1.0141185760201072,1.0320395475827708,1.0065160092084924,1384448.0
832,1.194092,0.910156,0.914307,0.901123,0.952148,0.920898,1,1384448,4,4,0.9900753277460128,1.0461371457200743,1.0118023723405658,1384448.0
832,1.184082,0.9021,0.918213,0.899658,0.952148,0.921875,1,1384448,4,4,0.9972929830395743,1.0554794368695266,1.021921073051768,1384448.0
896,1.321777,1.0512700000000001,1.0551760000000001,1.040039,1.082275,1.0551760000000001,1,1605632,4,4,0.9893167311917964,1.0294928990649403,1.00371550600702,1605632.0
896,1.293213,1.034912,1.042969,1.032227,1.076904,1.047852,1,1605632,4,4,0.9974055765127856,1.0405754305680097,1.012503478556631,1605632.0
896,1.309082,1.035156,1.044189,1.031982,1.085205,1.0541989999999999,1,1605632,4,4,0.9969337954858978,1.0483492343183056,1.0183962610466442,1605632.0
896,1.2998049999999999,1.032715,1.050049,1.037109,1.071045,1.050049,1,1605632,4,4,1.0042548040843795,1.0371157579777577,1.0167848825668262,1605632.0
896,1.365967,1.0341799999999999,1.050049,1.047852,1.072998,1.053711,1,1605632,4,4,1.0132201357597326,1.037535051925197,1.0188854938211918,1605632.0
960,1.470703,1.184814,1.198975,1.189941,1.218018,1.197998,1,1843200,4,4,1.0043272614942091,1.028024651970689,1.011127484989205,1843200.0
960,1.533936,1.185059,1.19165,1.203125,1.229248,1.197021,1,1843200,4,4,1.015244810595928,1.0372884388034687,1.010094012196861,1843200.0
960,1.63501,1.1921389999999998,1.195068,1.1879879999999998,1.228027,1.2060549999999999,1,1843200,4,4,0.9965180234855163,1.030103872115584,1.0116731354313548,1843200.0
960,1.487061,1.186035,1.195068,1.197021,1.2299799999999999,1.207031,1,1843200,4,4,1.009262795785959,1.0370520262892746,1.0177026816240669,1843200.0
960,1.4560549999999999,1.192871,1.2028809999999999,1.188965,1.22876,1.208008,1,1843200,4,4,0.9967255470205916,1.0300862373215545,1.0126895531872264,1843200.0
1024,1.8398439999999998,1.3481450000000001,1.355957,1.360107,1.3979489999999999,1.38916,1,2097152,4,4,1.0088729328076727,1.0369426137396198,1.0304232853291002,2097152.0
1024,1.61499,1.3479,1.356934,1.346191,1.396973,1.38501,1,2097152,4,4,0.9987321017879663,1.0364070034869055,1.027531716002671,2097152.0
1024,1.6140139999999998,1.3479,1.358154,1.353027,1.383789,1.373047,1,2097152,4,4,1.0038036946361004,1.026625862452704,1.0186564285184359,2097152.0
1024,1.630859,1.346924,1.361816,1.35791,1.386963,1.371094,1,2097152,4,4,1.0081563622000944,1.0297262503303823,1.017944590786117,2097152.0
1024,1.7851560000000002,1.345703,1.357178,1.354004,1.394043,1.370117,1,2097152,4,4,1.0061685230693547,1.0359217449912794,1.0181421903644414,2097152.0
1088,1.8459470000000002,1.525146,1.530273,1.5239260000000001,1.5541989999999999,1.5581049999999999,1,2367488,4,4,0.9992000765828322,1.0190493238024425,1.0216103900872442,2367488.0
1088,1.789062,1.519775,1.540039,1.529785,1.696045,1.542725,1,2367488,4,4,1.0065865012913096,1.1159842739879258,1.0151009195440113,2367488.0
1088,1.7858889999999998,1.528076,1.528076,1.51709,1.564941,1.5471190000000001,1,2367488,4,4,0.9928105670136826,1.024125108960549,1.0124620764935777,2367488.0
1088,1.8469240000000002,1.519287,1.534912,1.517822,1.557129,1.548096,1,2367488,4,4,0.9990357318926575,1.0249077363263162,1.0189621842351049,2367488.0
1088,1.768311,1.5271,1.532959,1.52124,1.556152,1.550049,1,2367488,4,4,0.9961626612533561,1.0190242944142494,1.0150278305284528,2367488.0
1152,1.960938,1.701904,1.718994,1.7131349999999999,1.7521970000000002,1.724121,1,2654208,4,4,1.0065990796190618,1.0295510205040943,1.013054202822251,2654208.0
1152,2.0161130000000003,1.7011720000000001,1.716309,1.7148439999999998,1.7460939999999998,1.729004,1,2654208,4,4,1.008036812268248,1.026406500929947,1.016360485594637,2654208.0
1152,1.966064,1.7009279999999998,1.712158,1.703857,1.750977,1.7539060000000002,1,2654208,4,4,1.0017220011664223,1.0294245259058585,1.0311465270722808,2654208.0
1152,2.031006,1.7080080000000002,1.7148439999999998,1.7138669999999998,1.751221,1.7548830000000002,1,2654208,4,4,1.003430311801818,1.0253002327857947,1.0274442508466002,2654208.0
1152,1.976807,1.702148,1.7150880000000002,1.704102,1.7468259999999998,1.730957,1,2654208,4,4,1.0011479612818628,1.0262480113362644,1.0169250852452314,2654208.0
1216,2.153076,1.8950200000000001,1.915771,1.905029,1.937012,1.915771,1,2957312,4,4,1.005281738451309,1.022159132885141,1.0109502802081243,2957312.0
1216,2.200684,1.900879,1.9118650000000001,1.906738,1.945068,1.920166,1,2957312,4,4,1.0030822582605206,1.0232466138034035,1.0101463586056767,2957312.0
1216,2.165039,1.894043,1.914062,1.905273,1.9499509999999998,1.9267580000000002,1,2957312,4,4,1.0059291156536574,1.0295178092577624,1.0172725751210507,2957312.0
1216,2.151123,1.8950200000000001,1.9040529999999998,1.898926,1.9509279999999998,1.912842,1,2957312,4,4,1.0020611919663116,1.029502591001678,1.0094046500828486,2957312.0
1216,2.172119,1.895752,1.9108889999999998,1.898926,1.9499509999999998,1.9257810000000002,1,2957312,4,4,1.0016742696302048,1.0285897100464616,1.0158401520874039,2957312.0
1280,2.384033,2.098877,2.11499,2.105957,2.14502,2.134033,1,3276800,4,4,1.0033732324476377,1.0219846136767425,1.0167499095945118,3276800.0
1280,2.361084,2.098877,2.1240229999999998,2.1081540000000003,2.139893,2.115967,1,3276800,4,4,1.0044199826859794,1.019541878823771,1.0081424495099045,3276800.0
1280,2.35791,2.096924,2.10498,2.096924,2.1401369999999997,2.1237790000000003,1,3276800,4,4,1.0,1.0206078045747007,1.0128068542302917,3276800.0
1280,2.417725,2.10498,2.111084,2.111084,2.1320799999999998,2.133057,1,3276800,4,4,1.002899790021758,1.0128742315841481,1.013338369010632,3276800.0
1280,2.427734,2.0979,2.113037,2.109131,2.133057,2.115967,1,3276800,4,4,1.0053534486867821,1.0167581867581867,1.0086119452786118,3276800.0
1344,2.578857,2.318115,2.3210450000000002,2.310059,2.362061,2.348877,1,3612672,4,4,0.9965247625764898,1.0189576444654385,1.0132702648488103,3612672.0
1344,2.573975,2.313232,2.3259279999999998,2.310059,2.3479,2.324219,1,3612672,4,4,0.9986283260822951,1.0149868236303146,1.0047496316841542,3612672.0
1344,2.572998,2.311035,2.3210450000000002,2.315918,2.360107,2.329834,1,3612672,4,4,1.0021129061221488,1.0212337762084955,1.0081344505816658,3612672.0
1344,2.580078,2.316895,2.320068,2.315918,2.354004,2.34375,1,3612672,4,4,0.9995783149430595,1.0160166947574232,1.0115909439141608,3612672.0
1344,2.583984,2.319092,2.3259279999999998,2.310059,2.376953,2.3427729999999998,1,3612672,4,4,0.9961049410717643,1.0249498510623984,1.0102113240871857,3612672.0
1408,2.796143,2.551025,2.545166,2.542969,2.593994,2.5620119999999997,1,3964928,4,4,0.9968420536843032,1.016843817681128,1.0043068962475865,3964928.0
1408,2.8129880000000003,2.535889,2.543945,2.538818,2.613037,2.567139,1,3964928,4,4,1.0011550190091127,1.0304224672294409,1.0123230945833985,3964928.0
1408,2.810791,2.542969,2.550781,2.537842,2.593018,2.567139,1,3964928,4,4,0.9979838527327702,1.0196813252540633,1.0095046380824935,3964928.0
1408,2.836914,2.543945,2.5620119999999997,2.554688,2.625,2.582031,1,3964928,4,4,1.0042229686569482,1.0318619309772814,1.0149712356202671,3964928.0
1408,2.883789,2.551025,2.566895,2.555908,2.62085,2.59668,1,3964928,4,4,1.0019141325545613,1.0273713507315687,1.01789672778589,3964928.0
1472,3.025146,2.775146,2.787842,2.794189,2.843018,2.810059,1,4333568,4,4,1.0068619813155777,1.024457091626891,1.0125805993630606,4333568.0
1472,3.041992,2.783203,2.790039,2.7807619999999997,2.84375,2.814941,1,4333568,4,4,0.9991229529430659,1.0217544318542342,1.0114034082314514,4333568.0
1472,3.092041,2.775879,2.790039,2.781982,2.837158,2.8259279999999998,1,4333568,4,4,1.002198582863302,1.022075529949252,1.0180299645625763,4333568.0
1472,3.026855,2.789062,2.788818,2.779785,2.8427729999999998,2.814941,1,4333568,4,4,0.9966737921207919,1.019257728942562,1.0092787467614561,4333568.0
1472,3.025879,2.774902,2.787842,2.807861,2.84082,2.809082,1,4333568,4,4,1.0118775365760664,1.023755073152133,1.012317552115354,4333568.0
1536,3.272949,3.021973,3.031982,3.039062,3.082031,3.046143,1,4718592,4,4,1.0056549148519858,1.0198737712084125,1.0079980860186375,4718592.0
1536,3.34082,3.0241700000000002,3.03418,3.0271,3.079834,3.053711,1,4718592,4,4,1.00096886087753,1.0184063726576216,1.0097683000624964,4718592.0
1536,3.274902,3.020996,3.041016,3.025879,3.084961,3.064209,1,4718592,4,4,1.001616354341416,1.0211734805342345,1.0143042228457106,4718592.0
1536,3.2890620000000004,3.021973,3.0490720000000002,3.026123,3.087158,3.069824,1,4718592,4,4,1.0013732750094062,1.0215703449369005,1.0158343572229136,4718592.0
1536,3.3259279999999998,3.033936,3.032959,3.026123,3.083984,3.0629880000000003,1,4718592,4,4,0.9974247973589423,1.016496063199751,1.0095756799088709,4718592.0
1600,3.532715,3.2771,3.3007809999999997,3.280762,3.35083,3.322021,1,5120000,4,4,1.001117451405206,1.0224985505477404,1.0137075463061853,5120000.0
1600,3.552002,3.276123,3.304932,3.281982,3.3549800000000003,3.302979,1,5120000,4,4,1.0017883943917856,1.0240702195857727,1.0081974944164185,5120000.0
1600,3.5290529999999998,3.276123,3.311035,3.2871089999999996,3.35376,3.3208010000000003,1,5120000,4,4,1.0033533539491648,1.0236978281950952,1.0136374611087557,5120000.0
1600,3.528076,3.274902,3.3051760000000003,3.280273,3.348633,3.315918,1,5120000,4,4,1.0016400490762778,1.0225139561428098,1.0125243442399192,5120000.0
1600,3.533936,3.2829589999999995,3.283936,3.281982,3.356201,3.3032230000000005,1,5120000,4,4,0.9997024026191008,1.0223097516600117,1.006172480375174,5120000.0
1664,3.796875,3.5429690000000003,3.555664,3.5588379999999997,3.588867,3.567139,1,5537792,4,4,1.0044790118118447,1.0129546716327464,1.0068219620324084,5537792.0
1664,3.875977,3.544922,3.556885,3.54834,3.614014,3.578125,1,5537792,4,4,1.0009641961092515,1.019490414739732,1.0093663555925914,5537792.0
1664,3.85791,3.5429690000000003,3.555908,3.5527339999999996,3.614014,3.5820309999999997,1,5537792,4,4,1.002756162980822,1.0200523910878136,1.0110252164215943,5537792.0
1664,3.8112790000000003,3.6110839999999995,3.549805,3.540039,3.6157230000000005,3.581055,1,5537792,4,4,0.9803258522925528,1.0012846557986468,0.9916842144907182,5537792.0
1664,3.8103029999999998,3.541992,3.5688480000000005,3.5480959999999997,3.6328120000000004,3.576172,1,5537792,4,4,1.0017233240504213,1.0256409387711773,1.009649937097543,5537792.0
1728,4.13501,3.818115,3.838135,3.828125,3.8928220000000002,3.8591309999999996,1,5971968,4,4,1.0026217125466361,1.0195664614606947,1.0107424737075754,5971968.0
1728,4.069824,3.815918,3.846924,3.817871,3.893066,3.855957,1,5971968,4,4,1.000511803450703,1.0202174155733954,1.0104926258897597,5971968.0
1728,4.072021,3.817139,3.8449709999999997,3.822998,3.893799,3.85791,1,5971968,4,4,1.0015349192156744,1.020083104125891,1.010681036242065,5971968.0
1728,4.096924,3.817871,3.824951,3.834961,3.9050290000000003,3.864014,1,5971968,4,4,1.0044763167744537,1.0228289536236297,1.012086055291025,5971968.0
1728,4.303711,3.819092,3.833008,3.828857,3.8889160000000005,3.862061,1,5971968,4,4,1.002556890486011,1.0182828798049381,1.0112511036654788,5971968.0
1792,4.445068,4.108887,4.119141,4.105713,4.184082,4.135986,1,6422528,4,4,0.9992275280386147,1.018300576287447,1.006595216660862,6422528.0
1792,4.410156,4.099854,4.108887,4.110107,4.149902,4.136963,1,6422528,4,4,1.0025008207609345,1.0122072639659851,1.0090512979242676,6422528.0
1792,4.367188,4.100098,4.121094,4.112061,4.158936,4.110107,1,6422528,4,4,1.0029177351370626,1.014350388698026,1.0024411611624893,6422528.0
1792,4.374756,4.1079099999999995,4.106201,4.097168,4.156738,4.11792,1,6422528,4,4,0.9973850449498651,1.011886336360826,1.0024367622464951,6422528.0
1792,4.429199,4.098877,4.115234,4.117188,4.166748,4.149902,1,6422528,4,4,1.0044673211711401,1.0165584378355341,1.0124485316343965,6422528.0
1856,4.677979,4.397949,4.412109,4.406982,4.461182,4.414307,1,6889472,4,4,1.0020539119485015,1.0143778383969437,1.0037194610487754,6889472.0
1856,4.736084,4.397949,4.406006,4.403076,4.468262,4.441162,1,6889472,4,4,1.0011657706808335,1.0159876797116112,1.00982571648739,6889472.0
1856,4.7229,4.403076,4.414062,4.410156,4.496094,4.441162,1,6889472,4,4,1.001607966794123,1.021125685770584,1.0086498620509843,6889472.0
1856,4.666992,4.4021,4.430176,4.412109,4.474854,4.453125,1,6889472,4,4,1.0022736875582108,1.0165271120601531,1.0115910588128394,6889472.0
1856,4.664795,4.4021,4.416016,4.415039,4.4777830000000005,4.433105,1,6889472,4,4,1.0029392789804867,1.017192476318121,1.0070432293678018,6889472.0
1920,4.96582,4.724121,4.724121,4.7172849999999995,4.785156,4.751953,1,7372800,4,4,0.9985529583175365,1.0129198638222856,1.005891466370146,7372800.0
1920,5.047119,4.709961,4.723145,4.726074,4.78418,4.76001,1,7372800,4,4,1.0034210474354246,1.0157578799484752,1.0106262026373467,7372800.0
1920,4.970947,4.722168,4.722168,4.714844,4.788086,4.738281,1,7372800,4,4,0.9984490174851891,1.0139592661675738,1.0034122038860116,7372800.0
1920,4.961914,4.709961,4.727051,4.716797,4.793213,4.741943,1,7372800,4,4,1.001451392060359,1.0176757302236685,1.0067902897709768,7372800.0
1920,4.970947,4.710938,4.735107,4.71582,4.794922,4.739014,1,7372800,4,4,1.0010363116644712,1.0178274475274351,1.005959747294488,7372800.0
1984,5.296875,5.040771,5.039062,5.03125,5.1108400000000005,5.066162,1,7872512,4,4,0.9981112016395904,1.0139004529267448,1.0050371262650097,7872512.0
1984,5.281006,5.0271,5.058105,5.037109,5.091064,5.062012,1,7872512,4,4,1.0019910087326689,1.0127238368045195,1.0069447594040302,7872512.0
1984,5.2878419999999995,5.021973,5.049805,5.032959,5.10376,5.065918,1,7872512,4,4,1.002187586432663,1.0162858302902067,1.0087505448555776,7872512.0
1984,5.302979,5.028076,5.054932,5.0378419999999995,5.112305,5.057129,1,7872512,4,4,1.0019422936327929,1.016751735653956,1.0057781545068132,7872512.0
1984,5.558105,5.02002,5.048096,5.0271,5.111328,5.062256,1,7872512,4,4,1.001410352946801,1.0181887721562863,1.0084135122967637,7872512.0
2048,5.625977,5.369873,5.36792,5.361084,5.433105,5.4021,1,8388608,4,4,0.9983632760029892,1.0117753250402757,1.0060014454718016,8388608.0
2048,5.609863,5.370117,5.375244,5.361084,5.439941,5.386719,1,8388608,4,4,0.9983179137437789,1.0130023237854968,1.0030915527538786,8388608.0
2048,5.61792,5.370117,5.368896,5.361816,5.447021,5.395264,1,8388608,4,4,0.9984542236230608,1.0143207308146174,1.0046827657572452,8388608.0
2048,5.74292,5.370117,5.36792,5.374023,5.451904,5.386963,1,8388608,4,4,1.0007273584542014,1.01523002199021,1.003136989380306,8388608.0
2048,5.393066,5.37085,5.37085,5.361084,5.452148,5.3920900000000005,1,8388608,4,4,0.9981816658443263,1.0151368963944256,1.0039546812888092,8388608.0
2112,5.940918,5.709961,5.708008,5.698975,5.791016,5.724365,1,8921088,4,4,0.9980759938640562,1.0141953684096967,1.0025226091736879,8921088.0
2112,5.744873,5.6940919999999995,5.711914,5.706055,5.785889,5.746826,1,8921088,4,4,1.0021009495455993,1.0161214465800694,1.0092611780772072,8921088.0
2112,5.954834,5.694824,5.697021,5.6940919999999995,5.766113,5.719971,1,8921088,4,4,0.9998714622260495,1.0125182095179763,1.0044157642097455,8921088.0
2112,6.012939,5.690186,5.698242,5.692871,5.762207,5.716064,1,8921088,4,4,1.0004718650673283,1.012657055498713,1.004547830246674,8921088.0
2112,5.998779,5.692871,5.706055,5.695312,5.75708,5.719971,1,8921088,4,4,1.0004287818923001,1.011278843311222,1.0047603397301643,8921088.0
2176,6.368164,6.039062,6.046143,6.042969,6.1159669999999995,6.057129,1,9469952,4,4,1.000646954775427,1.0127345935511176,1.0029916897690403,9469952.0
2176,6.319824,6.047119,6.052979,6.042969,6.109131,6.056152,1,9469952,4,4,0.9993137227827003,1.010254800674503,1.0014937691816548,9469952.0
2176,6.309082,6.053955,6.045898,6.051025,6.124023,6.078125,1,9469952,4,4,0.9995160188670051,1.011573921510814,1.0039924313940225,9469952.0
2176,6.301758,6.038818,6.051025,6.041992,6.118164,6.072266,1,9469952,4,4,1.0005255995461362,1.0131393262721282,1.005538832268169,9469952.0
2176,6.310059,6.047119,6.052979,6.049072,6.1159669999999995,6.064209,1,9469952,4,4,1.0003229637121411,1.0113852563509993,1.0028261391912412,9469952.0
2240,6.850098,6.398926,6.41333,6.409912,6.47998,6.419189,1,10035200,4,4,1.0017168506089928,1.0126668131495817,1.0031666251492828,10035200.0
2240,6.7260740000000006,6.406982,6.424805,6.402832,6.4729,6.429932,1,10035200,4,4,0.9993522691338917,1.0102884634294274,1.003582029729442,10035200.0
2240,6.761963000000001,6.397949,6.445068,6.396973,6.48999,6.415771,1,10035200,4,4,0.9998474511128489,1.0143860165187313,1.002785580191402,10035200.0
2240,6.7409669999999995,6.397949,6.406982,6.419189,6.48999,6.445068,1,10035200,4,4,1.0033198138966097,1.0143860165187313,1.0073647039074554,10035200.0
2240,6.891113000000001,6.412109,6.405762,6.40332,6.471924,6.437988,1,10035200,4,4,0.998629312134276,1.009328444042358,1.004035957592112,10035200.0
2304,7.082031,6.778809,6.791016,6.773192999999999,6.843994,6.802002000000001,1,10616832,4,4,0.9991715358848434,1.0096159959662532,1.0034213974755744,10616832.0
2304,7.067871,6.766846000000001,6.783936,6.7729490000000006,6.845947,6.801025,1,10616832,4,4,1.0009018972797665,1.0116894931553044,1.0050509498812297,10616832.0
