size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.052979, 0.046875, 0.065918, 0.037842, 0.170166, 0.114990,  2, 8192
128, 0.047852, 0.036865, 0.043701, 0.037109, 0.164062, 0.113037,  2, 8192
128, 0.062012, 0.036865, 0.044922, 0.037842, 0.165039, 0.113037,  2, 8192
128, 0.055176, 0.038330, 0.044922, 0.039062, 0.164062, 0.117188,  2, 8192
128, 0.054932, 0.037842, 0.045898, 0.037842, 0.163086, 0.127197,  2, 8192
192, 0.082031, 0.064209, 0.072754, 0.064209, 0.172852, 0.119141,  2, 18432
192, 0.090088, 0.067139, 0.072021, 0.063965, 0.167236, 0.125000,  2, 18432
192, 0.082031, 0.062988, 0.072021, 0.063965, 0.166016, 0.116943,  2, 18432
192, 0.082031, 0.063721, 0.072998, 0.063965, 0.170898, 0.114990,  2, 18432
192, 0.089111, 0.063965, 0.072021, 0.063965, 0.166992, 0.115967,  2, 18432
256, 0.119873, 0.099854, 0.108887, 0.102051, 0.249756, 0.148926,  2, 32768
256, 0.125977, 0.098877, 0.107178, 0.100098, 0.181885, 0.144043,  2, 32768
256, 0.119873, 0.099854, 0.105957, 0.102051, 0.246094, 0.145264,  2, 32768
256, 0.117920, 0.098877, 0.109131, 0.101807, 0.225098, 0.145020,  2, 32768
256, 0.126221, 0.103027, 0.108154, 0.102051, 0.222900, 0.146240,  2, 32768
320, 0.167969, 0.147217, 0.151855, 0.150146, 0.302979, 0.189941,  2, 51200
320, 0.166992, 0.146729, 0.156006, 0.147217, 0.340088, 0.192139,  2, 51200
320, 0.159912, 0.145996, 0.156250, 0.148193, 0.322998, 0.191895,  2, 51200
320, 0.166016, 0.155029, 0.155029, 0.146973, 0.342285, 0.191895,  2, 51200
320, 0.154053, 0.141113, 0.146973, 0.141846, 0.327881, 0.181885,  2, 51200
384, 0.215088, 0.198975, 0.219971, 0.200928, 0.395020, 0.241943,  2, 73728
384, 0.204102, 0.198242, 0.204834, 0.201172, 0.395020, 0.242920,  2, 73728
384, 0.218018, 0.196777, 0.204102, 0.198975, 0.398193, 0.242188,  2, 73728
384, 0.218018, 0.198242, 0.204834, 0.201172, 0.393799, 0.241943,  2, 73728
384, 0.216797, 0.197266, 0.204834, 0.199219, 0.361816, 0.241211,  2, 73728
448, 0.273926, 0.266113, 0.273193, 0.268066, 0.410645, 0.309082,  2, 100352
448, 0.274902, 0.265869, 0.270752, 0.268311, 0.424072, 0.310059,  2, 100352
448, 0.281982, 0.265869, 0.270020, 0.267822, 0.424072, 0.309814,  2, 100352
448, 0.273926, 0.265869, 0.271973, 0.267822, 0.425049, 0.310059,  2, 100352
448, 0.272949, 0.265137, 0.279053, 0.266846, 0.427002, 0.315186,  2, 100352
512, 0.369141, 0.352051, 0.359131, 0.346924, 0.492920, 0.396973,  2, 131072
512, 0.369873, 0.343994, 0.354004, 0.347168, 0.468994, 0.392090,  2, 131072
512, 0.367920, 0.351318, 0.354004, 0.345947, 0.491943, 0.396973,  2, 131072
512, 0.369141, 0.351074, 0.365967, 0.346924, 0.487061, 0.397217,  2, 131072
512, 0.368164, 0.352051, 0.352051, 0.346924, 0.472900, 0.405029,  2, 131072
576, 0.461914, 0.439941, 0.452881, 0.435059, 0.666016, 0.475098,  2, 165888
576, 0.470703, 0.439941, 0.446045, 0.436035, 0.662842, 0.475830,  2, 165888
576, 0.450195, 0.440918, 0.453125, 0.441895, 0.666992, 0.481934,  2, 165888
576, 0.463135, 0.439941, 0.453857, 0.435059, 0.666992, 0.483887,  2, 165888
576, 0.470947, 0.440918, 0.445068, 0.435059, 0.695068, 0.477051,  2, 165888
