size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.036865, 0.034912, 0.054199, 0.036865, 0.196045, 0.118896,  4, 4096
128, 0.035889, 0.031006, 0.042969, 0.038086, 0.224121, 0.118896,  4, 4096
128, 0.042969, 0.031006, 0.042969, 0.037842, 0.226074, 0.119873,  4, 4096
128, 0.042236, 0.031738, 0.043213, 0.037842, 0.223145, 0.120117,  4, 4096
128, 0.035156, 0.029053, 0.041016, 0.038086, 0.192871, 0.118896,  4, 4096
192, 0.063232, 0.057861, 0.070068, 0.062988, 0.529053, 0.141113,  4, 9216
192, 0.077148, 0.056885, 0.069092, 0.063965, 0.523926, 0.139893,  4, 9216
192, 0.068848, 0.057861, 0.070068, 0.063965, 0.573975, 0.142090,  4, 9216
192, 0.075684, 0.057129, 0.068115, 0.062744, 0.524170, 0.141113,  4, 9216
192, 0.064941, 0.056885, 0.069092, 0.063965, 0.561768, 0.140869,  4, 9216
256, 0.104980, 0.096924, 0.101807, 0.099854, 0.550049, 0.176758,  4, 16384
256, 0.099121, 0.098145, 0.102783, 0.100830, 0.602051, 0.177979,  4, 16384
256, 0.114014, 0.101318, 0.106201, 0.102051, 0.622070, 0.177002,  4, 16384
256, 0.112061, 0.091797, 0.104736, 0.102051, 0.608887, 0.177002,  4, 16384
256, 0.113037, 0.093750, 0.106934, 0.101807, 0.550049, 0.176025,  4, 16384
320, 0.154053, 0.139893, 0.152832, 0.147949, 0.595215, 0.222168,  4, 25600
320, 0.151855, 0.139893, 0.152100, 0.146240, 0.598145, 0.230225,  4, 25600
320, 0.158936, 0.138916, 0.152100, 0.146240, 0.627930, 0.223145,  4, 25600
320, 0.158936, 0.138916, 0.150879, 0.146973, 0.633789, 0.223145,  4, 25600
320, 0.161133, 0.140869, 0.153076, 0.147949, 0.647217, 0.223877,  4, 25600
384, 0.212891, 0.198975, 0.210938, 0.205078, 0.682861, 0.280762,  4, 36864
384, 0.210205, 0.197021, 0.209961, 0.204102, 0.686768, 0.280762,  4, 36864
384, 0.217773, 0.198975, 0.210938, 0.204834, 0.682861, 0.281250,  4, 36864
384, 0.217773, 0.198242, 0.208740, 0.203857, 0.645264, 0.281006,  4, 36864
384, 0.210938, 0.197998, 0.210938, 0.205078, 0.687988, 0.281006,  4, 36864
448, 0.271729, 0.264893, 0.276855, 0.272217, 0.696045, 0.348633,  4, 50176
448, 0.272949, 0.264893, 0.277100, 0.271973, 0.702148, 0.348877,  4, 50176
448, 0.273193, 0.265869, 0.278076, 0.272949, 0.668945, 0.348877,  4, 50176
448, 0.272217, 0.266113, 0.278076, 0.272949, 0.706055, 0.348877,  4, 50176
448, 0.280029, 0.267090, 0.278076, 0.271973, 0.695068, 0.348877,  4, 50176
512, 0.367920, 0.355957, 0.362061, 0.351807, 0.705811, 0.436035,  4, 65536
512, 0.365234, 0.351074, 0.355957, 0.351074, 0.758057, 0.437012,  4, 65536
512, 0.351074, 0.351074, 0.357666, 0.352295, 0.766113, 0.437988,  4, 65536
512, 0.361084, 0.344971, 0.364990, 0.352051, 0.759033, 0.437012,  4, 65536
512, 0.372070, 0.344971, 0.356689, 0.352295, 0.729980, 0.437012,  4, 65536
576, 0.460938, 0.439941, 0.459961, 0.447998, 0.787109, 0.519043,  4, 82944
576, 0.456787, 0.440918, 0.457031, 0.440186, 0.783936, 0.517090,  4, 82944
576, 0.449951, 0.445312, 0.458008, 0.443115, 0.829102, 0.516113,  4, 82944
576, 0.444824, 0.434814, 0.454834, 0.440186, 0.818115, 0.517090,  4, 82944
576, 0.458008, 0.440186, 0.441895, 0.447021, 0.819092, 0.517090,  4, 82944
640, 0.563232, 0.540039, 0.559326, 0.546143, 0.848145, 0.620117,  4, 102400
640, 0.572021, 0.540039, 0.553223, 0.546875, 0.837891, 0.620117,  4, 102400
640, 0.561035, 0.540039, 0.562012, 0.545898, 0.853271, 0.620850,  4, 102400
640, 0.565186, 0.539062, 0.553955, 0.547119, 0.854004, 0.616943,  4, 102400
640, 0.572998, 0.541260, 0.553711, 0.548828, 0.825684, 0.618896,  4, 102400
704, 0.677002, 0.649170, 0.670166, 0.654053, 0.928711, 0.726074,  4, 123904
