size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.064941, 0.050049, 0.067871, 0.037842, 0.076904, 0.047852,  1, 32768
128, 0.053223, 0.038818, 0.043945, 0.036865, 0.068848, 0.046875,  1, 32768
128, 0.052002, 0.039062, 0.043701, 0.036865, 0.070068, 0.048828,  1, 32768
128, 0.058105, 0.036865, 0.043213, 0.036133, 0.070068, 0.048096,  1, 32768
128, 0.058838, 0.045166, 0.042969, 0.036865, 0.077148, 0.048828,  1, 32768
192, 0.079834, 0.064941, 0.069824, 0.062988, 0.109131, 0.075928,  1, 73728
192, 0.085938, 0.064209, 0.069824, 0.062988, 0.101807, 0.073975,  1, 73728
192, 0.085205, 0.069824, 0.070068, 0.205811, 0.106201, 0.066895,  1, 73728
192, 0.076172, 0.062012, 0.062012, 0.056152, 0.097168, 0.067871,  1, 73728
192, 0.074951, 0.055908, 0.059814, 0.054932, 0.101074, 0.066895,  1, 73728
256, 0.112061, 0.094238, 0.097900, 0.093018, 0.132812, 0.104736,  1, 131072
256, 0.112061, 0.094238, 0.098145, 0.092773, 0.135010, 0.105225,  1, 131072
256, 0.112061, 0.098877, 0.096924, 0.092041, 0.126221, 0.104004,  1, 131072
256, 0.112793, 0.099854, 0.097900, 0.093018, 0.142090, 0.104736,  1, 131072
256, 0.113037, 0.100342, 0.098145, 0.093018, 0.140137, 0.105225,  1, 131072
320, 0.145996, 0.143066, 0.145264, 0.140137, 0.167969, 0.151855,  1, 204800
320, 0.146240, 0.139893, 0.145020, 0.139893, 0.175049, 0.151123,  1, 204800
320, 0.148926, 0.141113, 0.145020, 0.140137, 0.166992, 0.153076,  1, 204800
320, 0.153076, 0.139893, 0.144775, 0.300049, 0.168213, 0.152100,  1, 204800
320, 0.160889, 0.141113, 0.145996, 0.140869, 0.167725, 0.150879,  1, 204800
384, 0.203857, 0.196777, 0.203125, 0.197021, 0.229004, 0.207764,  1, 294912
384, 0.212158, 0.197998, 0.201904, 0.198242, 0.241943, 0.209961,  1, 294912
384, 0.211914, 0.198242, 0.202881, 0.197021, 0.230713, 0.208984,  1, 294912
384, 0.226074, 0.203857, 0.201904, 0.197998, 0.235840, 0.210205,  1, 294912
384, 0.210938, 0.197754, 0.201904, 0.197266, 0.235107, 0.210938,  1, 294912
448, 0.274170, 0.264893, 0.271240, 0.264648, 0.307861, 0.278076,  1, 401408
448, 0.274170, 0.266113, 0.270996, 0.265869, 0.301025, 0.278076,  1, 401408
448, 0.272949, 0.264160, 0.270020, 0.263916, 0.300781, 0.278076,  1, 401408
448, 0.272949, 0.264893, 0.270020, 0.263916, 0.299805, 0.277100,  1, 401408
448, 0.275879, 0.265869, 0.272217, 0.264893, 0.280029, 0.275879,  1, 401408
512, 0.359863, 0.350098, 0.369141, 0.354980, 0.382080, 0.356689,  1, 524288
512, 0.375000, 0.372803, 0.368164, 0.353027, 0.398193, 0.357178,  1, 524288
512, 0.363037, 0.350830, 0.370117, 0.350098, 0.371094, 0.355957,  1, 524288
512, 0.368896, 0.350830, 0.355225, 0.343262, 0.379883, 0.357178,  1, 524288
512, 0.367920, 0.352051, 0.355957, 0.349854, 0.378662, 0.356934,  1, 524288
576, 0.468018, 0.447021, 0.447021, 0.438965, 0.467041, 0.444824,  1, 663552
576, 0.472168, 0.439941, 0.462158, 0.446045, 0.467041, 0.448975,  1, 663552
576, 0.472168, 0.439941, 0.453125, 0.438721, 0.467041, 0.457031,  1, 663552
576, 0.465332, 0.439941, 0.453125, 0.437988, 0.468018, 0.448975,  1, 663552
576, 0.470703, 0.439941, 0.470215, 0.451904, 0.463135, 0.444092,  1, 663552
640, 0.571045, 0.538330, 0.559326, 0.544189, 0.570068, 0.544922,  1, 819200
640, 0.573975, 0.539795, 0.560059, 0.544189, 0.568115, 0.551025,  1, 819200
640, 0.573975, 0.540039, 0.560059, 0.544922, 0.563721, 0.543945,  1, 819200
640, 0.552002, 0.539062, 0.548096, 0.539062, 0.568848, 0.551025,  1, 819200
640, 0.574219, 0.538086, 0.559814, 0.550049, 0.567139, 0.545166,  1, 819200
704, 0.664795, 0.645020, 0.656982, 0.661133, 0.674072, 0.653076,  1, 991232
704, 0.676758, 0.649902, 0.663086, 0.659912, 0.675781, 0.653076,  1, 991232
704, 0.681885, 0.650146, 0.663086, 0.649170, 0.674805, 0.656738,  1, 991232
704, 0.677246, 0.650146, 0.668213, 0.661133, 0.675781, 0.655029,  1, 991232
704, 0.682129, 0.648193, 0.669922, 0.648926, 0.676025, 0.654053,  1, 991232
