size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.037842, 0.035889, 0.083984, 0.068115, 0.162842, 0.113037,  16, 8192
128, 0.034912, 0.028809, 0.067871, 0.066895, 0.201172, 0.114014,  16, 8192
128, 0.043213, 0.031006, 0.072021, 0.066895, 0.201904, 0.114014,  16, 8192
128, 0.036133, 0.031006, 0.072021, 0.066895, 0.207031, 0.114014,  16, 8192
128, 0.041992, 0.031006, 0.072021, 0.067871, 0.161865, 0.114014,  16, 8192
192, 0.069092, 0.056885, 0.095215, 0.092773, 0.402832, 0.137939,  16, 18432
192, 0.069092, 0.056885, 0.097900, 0.093994, 0.403076, 0.137939,  16, 18432
192, 0.062988, 0.057129, 0.094971, 0.093018, 0.409912, 0.137695,  16, 18432
192, 0.077148, 0.056885, 0.095215, 0.093994, 0.410889, 0.138916,  16, 18432
192, 0.075928, 0.057861, 0.104004, 0.093994, 0.413818, 0.138916,  16, 18432
256, 0.113037, 0.093018, 0.137939, 0.133057, 0.380859, 0.173096,  16, 32768
256, 0.119873, 0.093018, 0.137939, 0.133057, 0.417969, 0.174072,  16, 32768
256, 0.106934, 0.093994, 0.136719, 0.132812, 0.412842, 0.174805,  16, 32768
256, 0.111084, 0.092041, 0.135986, 0.131104, 0.372070, 0.173096,  16, 32768
256, 0.113037, 0.093994, 0.137207, 0.132080, 0.411865, 0.175049,  16, 32768
320, 0.153076, 0.140869, 0.181885, 0.177246, 0.438721, 0.220947,  16, 51200
320, 0.160156, 0.141357, 0.181885, 0.177002, 0.410889, 0.218994,  16, 51200
320, 0.160156, 0.140137, 0.181885, 0.176758, 0.407959, 0.219971,  16, 51200
320, 0.155029, 0.139893, 0.180908, 0.176025, 0.401123, 0.219971,  16, 51200
320, 0.166260, 0.138916, 0.179932, 0.176025, 0.406982, 0.219971,  16, 51200
384, 0.218018, 0.198975, 0.240723, 0.234863, 0.487793, 0.278076,  16, 73728
384, 0.210938, 0.198975, 0.237061, 0.235840, 0.455811, 0.277100,  16, 73728
384, 0.253906, 0.208984, 0.262939, 0.245117, 0.471924, 0.300781,  16, 73728
384, 0.223145, 0.214844, 0.254150, 0.247070, 0.374756, 0.299072,  16, 73728
