size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.053711, 0.045166, 0.069824, 0.040039, 0.232178, 0.187988,  3, 5456
128, 0.049072, 0.036865, 0.046875, 0.039795, 0.250977, 0.159912,  3, 5456
128, 0.054932, 0.035889, 0.046875, 0.039062, 0.228027, 0.160156,  3, 5456
128, 0.049072, 0.037354, 0.048340, 0.040039, 0.228027, 0.160889,  3, 5456
128, 0.047852, 0.036865, 0.046875, 0.041016, 0.226074, 0.170166,  3, 5456
192, 0.062744, 0.057129, 0.067139, 0.061035, 0.400146, 0.118164,  3, 12288
192, 0.061768, 0.055176, 0.064941, 0.060059, 0.360107, 0.116943,  3, 12288
192, 0.069824, 0.057373, 0.065918, 0.061035, 0.375244, 0.118164,  3, 12288
192, 0.067871, 0.055176, 0.064941, 0.060059, 0.369141, 0.115967,  3, 12288
192, 0.062988, 0.056885, 0.066895, 0.061035, 0.397949, 0.118164,  3, 12288
256, 0.104980, 0.092041, 0.102051, 0.097168, 0.434082, 0.154053,  3, 21840
256, 0.113037, 0.093018, 0.102051, 0.096924, 0.416992, 0.152832,  3, 21840
256, 0.098877, 0.093018, 0.108887, 0.098145, 0.458740, 0.154053,  3, 21840
256, 0.106934, 0.093750, 0.103027, 0.096680, 0.455078, 0.154053,  3, 21840
256, 0.097900, 0.093018, 0.102051, 0.096924, 0.416992, 0.153076,  3, 21840
320, 0.145020, 0.139160, 0.145752, 0.144043, 0.466064, 0.199951,  3, 34128
320, 0.152100, 0.141357, 0.148193, 0.143066, 0.493164, 0.201172,  3, 34128
320, 0.145020, 0.140869, 0.149902, 0.144043, 0.499023, 0.200195,  3, 34128
320, 0.156006, 0.139893, 0.149902, 0.145020, 0.479004, 0.201172,  3, 34128
320, 0.159912, 0.140137, 0.149902, 0.145020, 0.493164, 0.201172,  3, 34128
384, 0.216797, 0.199219, 0.208984, 0.204102, 0.510986, 0.258789,  3, 49152
384, 0.202881, 0.196777, 0.207031, 0.202148, 0.512207, 0.258057,  3, 49152
384, 0.217041, 0.197754, 0.208008, 0.204102, 0.513184, 0.259277,  3, 49152
384, 0.204102, 0.198730, 0.208740, 0.203125, 0.486816, 0.257812,  3, 49152
384, 0.213135, 0.197998, 0.208008, 0.202881, 0.510986, 0.257812,  3, 49152
