size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.039062, 0.035156, 0.064209, 0.047852, 0.206055, 0.072021,  8, 16384
128, 0.039062, 0.029785, 0.052002, 0.047852, 0.197021, 0.072021,  8, 16384
128, 0.035889, 0.030029, 0.048828, 0.048096, 0.196777, 0.072021,  8, 16384
128, 0.041016, 0.030029, 0.048096, 0.046875, 0.173828, 0.071045,  8, 16384
128, 0.041016, 0.030029, 0.051025, 0.046875, 0.196045, 0.072021,  8, 16384
192, 0.068848, 0.063965, 0.076172, 0.072754, 0.203125, 0.098145,  8, 36864
192, 0.075195, 0.064209, 0.076904, 0.072021, 0.194092, 0.096924,  8, 36864
192, 0.076172, 0.056885, 0.074951, 0.072754, 0.209961, 0.097900,  8, 36864
192, 0.067871, 0.056152, 0.077881, 0.072021, 0.191895, 0.095703,  8, 36864
192, 0.072021, 0.056885, 0.078857, 0.072998, 0.209961, 0.096924,  8, 36864
256, 0.098389, 0.093750, 0.117188, 0.112061, 0.229980, 0.134033,  8, 65536
256, 0.113037, 0.100830, 0.114990, 0.112793, 0.236084, 0.134033,  8, 65536
256, 0.105957, 0.093994, 0.114014, 0.113037, 0.239014, 0.134033,  8, 65536
256, 0.113037, 0.093018, 0.114014, 0.112061, 0.242920, 0.134033,  8, 65536
256, 0.113037, 0.093994, 0.114258, 0.112793, 0.229736, 0.134033,  8, 65536
320, 0.154053, 0.143066, 0.161865, 0.156982, 0.239990, 0.180908,  8, 102400
320, 0.154053, 0.140869, 0.161865, 0.156738, 0.247070, 0.180908,  8, 102400
320, 0.145020, 0.139160, 0.159912, 0.155762, 0.236816, 0.179932,  8, 102400
320, 0.152100, 0.139160, 0.162109, 0.155762, 0.250732, 0.180908,  8, 102400
320, 0.167236, 0.139893, 0.161865, 0.156250, 0.257080, 0.182129,  8, 102400
384, 0.209717, 0.197754, 0.217285, 0.215088, 0.304932, 0.238770,  8, 147456
384, 0.204102, 0.198242, 0.216064, 0.214844, 0.283936, 0.238037,  8, 147456
384, 0.211182, 0.197754, 0.230713, 0.214844, 0.303955, 0.237793,  8, 147456
384, 0.230957, 0.197998, 0.223877, 0.214844, 0.309814, 0.239014,  8, 147456
384, 0.215088, 0.197021, 0.216797, 0.214111, 0.315186, 0.239990,  8, 147456
448, 0.272949, 0.266846, 0.283936, 0.282227, 0.400146, 0.305176,  8, 200704
448, 0.281250, 0.266113, 0.283936, 0.281982, 0.428955, 0.305664,  8, 200704
448, 0.271973, 0.266113, 0.283936, 0.281738, 0.425293, 0.305908,  8, 200704
448, 0.277100, 0.272949, 0.282959, 0.280762, 0.421875, 0.306152,  8, 200704
448, 0.270996, 0.265137, 0.282959, 0.281006, 0.423096, 0.314941,  8, 200704
512, 0.381104, 0.349854, 0.363770, 0.362061, 0.466797, 0.390137,  8, 262144
512, 0.358887, 0.351074, 0.364990, 0.362793, 0.468994, 0.389648,  8, 262144
512, 0.364990, 0.358154, 0.364990, 0.363037, 0.447021, 0.389160,  8, 262144
512, 0.376953, 0.350098, 0.364014, 0.362061, 0.480957, 0.391113,  8, 262144
512, 0.364990, 0.357666, 0.365967, 0.364258, 0.476318, 0.391113,  8, 262144
576, 0.468018, 0.438965, 0.458008, 0.448975, 0.603760, 0.473877,  8, 331776
576, 0.479004, 0.440918, 0.460205, 0.447021, 0.597900, 0.473877,  8, 331776
576, 0.458984, 0.440918, 0.459961, 0.448975, 0.587891, 0.474121,  8, 331776
576, 0.459961, 0.440186, 0.458984, 0.449951, 0.570068, 0.472900,  8, 331776
576, 0.458984, 0.439209, 0.458984, 0.449219, 0.570068, 0.472900,  8, 331776
640, 0.563965, 0.538086, 0.561035, 0.548828, 0.664062, 0.573242,  8, 409600
640, 0.581055, 0.538818, 0.561768, 0.550049, 0.648926, 0.572021,  8, 409600
640, 0.577881, 0.544922, 0.553955, 0.549805, 0.664062, 0.572021,  8, 409600
640, 0.564209, 0.539062, 0.561768, 0.550049, 0.665039, 0.572998,  8, 409600
640, 0.578857, 0.540039, 0.558838, 0.548828, 0.663086, 0.572021,  8, 409600
704, 0.675781, 0.649170, 0.676758, 0.659912, 0.798828, 0.680908,  8, 495616
704, 0.684082, 0.656006, 0.663086, 0.656982, 0.814941, 0.680908,  8, 495616
704, 0.677979, 0.649170, 0.670898, 0.657959, 0.817139, 0.683105,  8, 495616
704, 0.691162, 0.648926, 0.677002, 0.657959, 0.814697, 0.682861,  8, 495616
704, 0.688965, 0.647949, 0.668945, 0.657227, 0.814941, 0.681885,  8, 495616
768, 0.967773, 0.768066, 0.791016, 0.779785, 0.880127, 0.804688,  8, 589824
768, 1.233154, 0.769287, 0.791016, 0.793945, 0.879883, 0.805176,  8, 589824
768, 1.024902, 0.769775, 0.791992, 0.781982, 0.856934, 0.802979,  8, 589824
768, 1.030029, 0.769287, 0.792969, 0.781006, 0.879883, 0.803955,  8, 589824
768, 1.031738, 0.768799, 0.800049, 0.781006, 0.880859, 0.804199,  8, 589824
832, 1.167236, 0.898926, 0.928955, 0.911133, 1.042969, 0.933105,  8, 692224
832, 1.178955, 0.898926, 0.925781, 0.910156, 1.042969, 0.931885,  8, 692224
832, 1.177979, 0.899902, 0.920166, 0.911377, 1.041992, 0.934082,  8, 692224
832, 1.177979, 0.899170, 0.917725, 0.908936, 1.042236, 0.934326,  8, 692224
832, 1.151123, 0.898193, 0.926025, 0.908936, 1.042969, 0.934082,  8, 692224
896, 1.312988, 1.041016, 1.066895, 1.052246, 1.157959, 1.075928,  8, 802816
896, 1.302979, 1.040771, 1.062988, 1.057129, 1.158936, 1.082031,  8, 802816
896, 1.302002, 1.041016, 1.068848, 1.052002, 1.174805, 1.082764,  8, 802816
896, 1.303955, 1.040039, 1.063965, 1.052246, 1.152100, 1.083008,  8, 802816
896, 1.320801, 1.041016, 1.063232, 1.052979, 1.144043, 1.083984,  8, 802816
960, 1.454834, 1.189941, 1.222168, 1.202881, 1.301025, 1.225098,  8, 921600
960, 1.470947, 1.191162, 1.212891, 1.208008, 1.302002, 1.230957,  8, 921600
960, 1.448975, 1.192139, 1.212158, 1.202148, 1.302979, 1.225098,  8, 921600
960, 1.448730, 1.192139, 1.211182, 1.201660, 1.301025, 1.230957,  8, 921600
960, 1.439209, 1.190186, 1.217041, 1.201904, 1.300049, 1.233887,  8, 921600
1024, 1.601807, 1.353027, 1.378174, 1.367188, 1.494873, 1.401855,  8, 1048576
1024, 1.597900, 1.354004, 1.380127, 1.366943, 1.494141, 1.400879,  8, 1048576
1024, 1.602051, 1.353027, 1.378906, 1.367188, 1.491943, 1.397705,  8, 1048576
1024, 1.617920, 1.353027, 1.382080, 1.367188, 1.489014, 1.396729,  8, 1048576
1024, 1.602051, 1.353027, 1.385742, 1.369141, 1.479004, 1.397217,  8, 1048576
1088, 1.783203, 1.525146, 1.545898, 1.535889, 1.666992, 1.577881,  8, 1183744
1088, 1.802246, 1.524902, 1.544922, 1.535156, 1.677002, 1.560059,  8, 1183744
1088, 1.837158, 1.523193, 1.560059, 1.533936, 1.680176, 1.562012,  8, 1183744
1088, 1.853027, 1.523926, 1.545898, 1.535889, 1.678955, 1.558105,  8, 1183744
1088, 1.798096, 1.523926, 1.548828, 1.537109, 1.666992, 1.557129,  8, 1183744
1152, 1.982178, 1.708008, 1.738770, 1.719971, 1.868896, 1.746826,  8, 1327104
1152, 2.005859, 1.706055, 1.729980, 1.719971, 1.869385, 1.740967,  8, 1327104
1152, 1.982910, 1.706787, 1.738037, 1.719971, 1.872070, 1.739990,  8, 1327104
1152, 1.980957, 1.707031, 1.734863, 1.719971, 1.871338, 1.746338,  8, 1327104
1152, 1.960938, 1.706787, 1.729004, 1.720947, 1.854004, 1.767090,  8, 1327104
1216, 2.158203, 1.899902, 1.926758, 1.911133, 2.072021, 1.947754,  8, 1478656
1216, 2.154785, 1.898926, 1.923096, 1.911865, 2.073975, 1.945801,  8, 1478656
1216, 2.425781, 1.899902, 1.923096, 1.913086, 2.072998, 1.939941,  8, 1478656
